ts,A,CTX,x,US,S"1,S"2,H1,H2,M"1,M"2,D,R*,CR
94,0.0,0.7,0.0,0.0,0.013,0.013,0.006,0.007,0.006,0.006,0.008,0.006,0.0,
95,0.0,0.7,0.0,0.0,0.013,0.013,0.006,0.006,0.006,0.006,0.006,0.008,0.0,
96,0.0,0.7,0.0,0.0,0.013,0.016,0.007,0.006,0.007,0.006,0.008,0.008,0.0,
97,0.0,0.7,0.0,0.0,0.013,0.016,0.006,0.006,0.007,0.007,0.006,0.006,0.0,
98,0.0,0.7,0.0,0.0,0.013,0.013,0.006,0.006,0.007,0.006,0.006,0.006,0.0,
99,0.0,0.7,0.0,0.0,0.013,0.013,0.006,0.006,0.006,0.006,0.006,0.008,0.0,
100,0.0,0.7,0.0,0.0,0.013,0.013,0.006,0.006,0.006,0.006,0.006,0.008,0.0,
101,0.0,0.7,0.0,0.0,0.013,0.013,0.007,0.006,0.006,0.006,0.006,0.006,0.0,
102,0.0,0.7,0.0,0.0,0.013,0.013,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
103,0.0,0.7,0.0,0.0,0.013,0.016,0.006,0.006,0.006,0.006,0.008,0.008,0.0,
104,0.0,0.7,0.0,0.0,0.013,0.013,0.007,0.006,0.006,0.006,0.006,0.006,0.0,
105,0.0,0.7,0.0,0.0,0.013,0.016,0.006,0.006,0.006,0.006,0.006,0.008,0.0,
106,0.0,0.7,0.0,0.0,0.013,0.013,0.007,0.006,0.006,0.007,0.008,0.006,0.0,
107,0.0,0.7,0.0,0.0,0.013,0.013,0.007,0.006,0.006,0.006,0.006,0.006,0.0,
108,0.0,0.7,0.0,0.0,0.013,0.013,0.006,0.007,0.006,0.006,0.006,0.008,0.0,
109,0.0,0.7,0.0,0.0,0.013,0.013,0.006,0.006,0.006,0.007,0.006,0.006,0.0,
110,0.0,0.7,0.0,0.0,0.013,0.013,0.006,0.006,0.006,0.007,0.006,0.008,0.0,
111,0.0,0.7,0.0,0.0,0.013,0.013,0.006,0.006,0.007,0.006,0.008,0.006,0.0,
112,0.0,0.7,0.0,0.0,0.016,0.013,0.007,0.006,0.006,0.006,0.006,0.006,0.0,
113,0.0,0.7,0.0,0.0,0.016,0.013,0.006,0.006,0.007,0.006,0.006,0.006,0.0,
114,0.0,0.7,0.0,0.0,0.013,0.016,0.006,0.006,0.006,0.006,0.006,0.008,0.0,
115,0.0,0.7,0.0,0.0,0.013,0.013,0.007,0.006,0.006,0.007,0.006,0.006,0.0,
116,0.0,0.7,0.0,0.0,0.013,0.013,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
117,0.0,0.7,0.0,0.0,0.016,0.013,0.006,0.006,0.007,0.007,0.008,0.006,0.0,
118,0.0,0.7,0.0,0.0,0.013,0.013,0.006,0.006,0.007,0.006,0.006,0.006,0.0,
119,0.0,0.7,0.0,0.0,0.013,0.013,0.006,0.006,0.006,0.006,0.008,0.006,0.0,
120,1.0,0.7,0.9,0.0,0.042,0.033,0.007,0.006,0.006,0.006,0.006,0.006,0.0,
121,1.0,0.7,0.9,0.0,0.037,0.04,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
122,1.0,0.7,0.8,0.0,0.037,0.029,0.006,0.008,0.006,0.006,0.006,0.006,0.0,
123,1.0,0.7,0.1,0.0,0.036,0.014,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
124,1.0,0.7,0.4,0.0,0.044,0.023,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
125,0.0,0.7,0.0,1.0,0.013,0.013,0.007,0.006,0.006,0.006,1.0,1.0,0.0,
126,0.0,0.7,0.0,0.0,0.013,0.013,0.006,0.006,0.007,0.006,0.006,0.006,0.0,
127,0.0,0.7,0.0,0.0,0.016,0.013,0.006,0.006,0.007,0.006,0.006,0.006,0.0,
128,0.0,0.7,0.0,0.0,0.013,0.016,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
129,0.0,0.7,0.0,0.0,0.016,0.013,0.007,0.006,0.006,0.007,0.008,0.008,0.0,
130,0.0,0.7,0.0,0.0,0.013,0.013,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
131,0.0,0.7,0.0,0.0,0.013,0.013,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
132,0.0,0.7,0.0,0.0,0.013,0.013,0.006,0.006,0.006,0.007,0.006,0.006,0.0,
133,0.0,0.7,0.0,0.0,0.016,0.013,0.006,0.006,0.007,0.006,0.006,0.008,0.0,
134,0.0,0.7,0.0,0.0,0.013,0.016,0.007,0.006,0.006,0.006,0.006,0.006,0.0,
135,0.0,0.7,0.0,0.0,0.013,0.013,0.006,0.006,0.006,0.006,0.006,0.008,0.0,
136,0.0,0.7,0.0,0.0,0.013,0.013,0.007,0.007,0.006,0.007,0.008,0.006,0.0,
137,0.0,0.7,0.0,0.0,0.013,0.013,0.006,0.006,0.007,0.006,0.006,0.006,0.0,
138,0.0,0.7,0.0,0.0,0.016,0.016,0.006,0.006,0.006,0.006,0.008,0.006,0.0,
139,0.0,0.7,0.0,0.0,0.016,0.013,0.007,0.006,0.006,0.006,0.006,0.006,0.0,
140,0.0,0.7,0.0,0.0,0.013,0.016,0.007,0.006,0.006,0.006,0.006,0.006,0.0,
