ts,A,CTX,x,US,S"1,S"2,H1,H2,M"1,M"2,D,R*,CR
85,1.0,0.4,1.0,0.0,0.05,0.048,0.008,0.007,0.008,0.006,0.006,0.006,0.0,
86,1.0,0.4,1.0,0.0,0.05,0.048,0.008,0.006,0.006,0.006,0.006,0.006,0.0,
87,1.0,0.4,0.9,1.0,0.05,0.041,0.006,0.006,0.006,0.008,1.0,1.0,0.0,
88,0.0,0.4,0.0,1.0,0.01,0.01,0.006,0.008,0.006,0.006,1.0,1.0,0.0,
89,0.0,0.4,0.0,0.0,0.01,0.013,0.006,0.007,0.006,0.006,0.006,0.006,0.0,
90,0.0,0.4,0.0,0.0,0.013,0.01,0.006,0.006,0.006,0.007,0.006,0.006,0.0,
91,1.0,0.4,1.0,0.0,0.057,0.06,0.006,0.008,0.008,0.007,0.006,0.006,0.0,
92,1.0,0.4,1.0,0.0,0.056,0.065,0.007,0.007,0.007,0.008,0.007,0.006,0.0,
93,1.0,0.4,1.0,0.0,0.056,0.053,0.007,0.007,0.007,0.006,0.006,0.006,0.0,
94,1.0,0.4,1.0,1.0,0.055,0.064,0.008,0.006,0.007,0.006,1.0,1.0,0.0,
95,1.0,0.4,1.0,0.0,0.064,0.063,0.007,0.007,0.007,0.007,0.006,0.006,0.0,
96,1.0,0.4,1.0,0.0,0.063,0.062,0.007,0.008,0.007,0.007,0.006,0.008,0.0,
97,1.0,0.4,1.0,0.0,0.062,0.062,0.007,0.007,0.007,0.007,0.008,0.008,0.0,
98,1.0,0.4,0.9,0.0,0.062,0.052,0.008,0.007,0.008,0.007,0.008,0.006,0.0,
99,0.0,0.4,0.0,0.0,0.01,0.011,0.006,0.008,0.007,0.006,0.006,0.006,0.0,
100,0.0,0.4,0.0,1.0,0.013,0.011,0.006,0.006,0.006,0.006,1.0,1.0,0.0,
101,0.0,0.4,0.0,1.0,0.011,0.011,0.007,0.006,0.007,0.007,1.0,1.0,0.0,
102,1.0,0.4,1.0,1.0,0.063,0.063,0.006,0.007,0.006,0.007,1.0,1.0,0.0,
103,1.0,0.4,1.0,0.0,0.077,0.075,0.008,0.007,0.008,0.007,0.006,0.008,0.0,
104,1.0,0.4,1.0,0.0,0.062,0.074,0.008,0.008,0.007,0.007,0.007,0.006,0.0,
105,1.0,0.4,1.0,0.0,0.062,0.074,0.008,0.007,0.007,0.008,0.006,0.006,0.0,
106,1.0,0.4,1.0,0.0,0.074,0.061,0.008,0.007,0.007,0.008,0.006,0.006,0.0,
107,1.0,0.4,1.0,0.0,0.06,0.06,0.007,0.007,0.007,0.007,0.006,0.006,0.0,
108,1.0,0.4,1.0,1.0,0.06,0.06,0.008,0.007,0.007,0.007,1.0,1.0,0.0,
109,1.0,0.4,1.0,0.0,0.071,0.07,0.007,0.007,0.007,0.007,0.006,0.008,0.0,
110,0.0,0.4,0.0,0.0,0.011,0.011,0.006,0.007,0.008,0.006,0.006,0.006,0.0,
111,0.0,0.4,0.0,0.0,0.013,0.011,0.006,0.006,0.007,0.006,0.006,0.008,0.0,
112,0.0,0.4,0.0,0.0,0.011,0.011,0.006,0.006,0.006,0.006,0.006,0.008,0.0,
113,1.0,0.4,1.0,0.0,0.069,0.077,0.006,0.007,0.007,0.007,0.006,0.006,0.0,
114,1.0,0.4,1.0,1.0,0.069,0.082,0.007,0.007,0.007,0.007,1.0,1.0,0.0,
115,1.0,0.4,1.0,1.0,0.098,0.083,0.007,0.007,0.008,0.007,1.0,1.0,0.0,
116,1.0,0.4,1.0,1.0,0.097,0.082,0.007,0.007,0.007,0.007,1.0,1.0,0.0,
117,1.0,0.4,1.0,0.0,0.078,0.098,0.007,0.007,0.007,0.007,0.008,0.006,0.0,
118,1.0,0.4,1.0,0.0,0.094,0.079,0.007,0.007,0.007,0.007,0.008,0.006,0.0,
119,1.0,0.4,1.0,0.0,0.076,0.078,0.007,0.007,0.008,0.007,0.006,0.008,0.0,
120,1.0,0.4,1.0,0.0,0.074,0.076,0.007,0.007,0.007,0.007,0.007,0.006,0.0,
121,0.0,0.4,0.0,1.0,0.011,0.011,0.007,0.008,0.008,0.006,1.0,1.0,0.0,
122,0.0,0.4,0.0,1.0,0.011,0.014,0.006,0.007,0.006,0.007,1.0,1.0,0.0,
123,0.0,0.4,0.0,0.0,0.011,0.011,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
124,1.0,0.4,1.0,0.0,0.084,0.086,0.007,0.007,0.006,0.006,0.006,0.006,0.0,
125,1.0,0.4,1.0,0.0,0.074,0.092,0.007,0.007,0.007,0.007,0.006,0.006,0.0,
126,1.0,0.4,1.0,0.0,0.073,0.075,0.007,0.007,0.007,0.007,0.006,0.006,0.0,
127,1.0,0.4,1.0,0.0,0.072,0.074,0.007,0.007,0.007,0.007,0.006,0.006,0.0,
128,1.0,0.4,1.0,1.0,0.086,0.072,0.008,0.007,0.007,0.007,1.0,1.0,0.0,
129,1.0,0.4,1.0,1.0,0.088,0.104,0.007,0.007,0.007,0.007,1.0,1.0,0.0,
130,1.0,0.4,1.0,1.0,0.088,0.085,0.007,0.007,0.007,0.007,1.0,1.0,0.0,
131,1.0,0.4,1.0,0.0,0.087,0.083,0.007,0.007,0.008,0.007,0.007,0.008,0.0,
132,1.0,0.4,1.0,0.0,0.085,0.099,0.008,0.008,0.007,0.007,0.007,0.006,0.0,
133,0.0,0.4,0.0,0.0,0.011,0.011,0.008,0.007,0.007,0.006,0.008,0.006,0.0,
134,0.0,0.4,0.0,0.0,0.011,0.014,0.006,0.006,0.006,0.006,0.008,0.006,0.0,
135,0.0,0.4,0.0,1.0,0.014,0.014,0.006,0.006,0.007,0.006,1.0,1.0,0.0,
136,1.0,0.4,1.0,0.0,0.097,0.094,0.008,0.006,0.008,0.008,0.006,0.008,0.0,
137,1.0,0.4,1.0,0.0,0.103,0.082,0.007,0.007,0.007,0.007,0.006,0.006,0.0,
138,1.0,0.4,1.0,0.0,0.085,0.08,0.009,0.007,0.007,0.007,0.006,0.008,0.0,
139,1.0,0.4,1.0,0.0,0.085,0.079,0.008,0.008,0.007,0.007,0.006,0.006,0.0,
140,1.0,0.4,1.0,0.0,0.083,0.079,0.008,0.007,0.007,0.007,0.008,0.006,0.0,
141,1.0,0.4,1.0,0.0,0.083,0.079,0.007,0.007,0.007,0.008,0.006,0.006,0.0,
142,1.0,0.4,1.0,1.0,0.082,0.078,0.007,0.007,0.007,0.008,1.0,1.0,0.0,
143,1.0,0.4,1.0,1.0,0.118,0.112,0.007,0.007,0.007,0.007,1.0,1.0,0.0,
144,0.0,0.4,0.0,0.0,0.024,0.011,0.009,0.009,0.007,0.007,0.006,0.006,0.0,
145,0.0,0.4,0.0,0.0,0.014,0.014,0.006,0.008,0.008,0.006,0.008,0.006,0.0,
146,0.0,0.4,0.0,0.0,0.012,0.014,0.006,0.006,0.006,0.008,0.006,0.006,0.0,
147,1.0,0.4,1.0,0.0,0.097,0.103,0.007,0.006,0.007,0.006,0.008,0.006,0.0,
148,1.0,0.4,1.0,0.0,0.117,0.111,0.007,0.009,0.007,0.007,0.006,0.006,0.0,
149,1.0,0.4,1.0,1.0,0.094,0.108,0.007,0.007,0.007,0.007,1.0,1.0,0.0,
150,1.0,0.4,1.0,0.0,0.117,0.115,0.009,0.007,0.007,0.007,0.008,0.006,0.0,
151,1.0,0.4,1.0,0.0,0.138,0.135,0.007,0.008,0.008,0.007,0.006,0.008,0.0,
152,1.0,0.4,1.0,0.0,0.134,0.131,0.009,0.007,0.007,0.007,0.008,0.006,0.0,
153,1.0,0.4,1.0,0.0,0.11,0.131,0.007,0.009,0.007,0.007,0.006,0.008,0.0,
154,1.0,0.4,1.0,0.0,0.108,0.127,0.009,0.007,0.009,0.007,0.007,0.007,0.0,
155,0.0,0.4,0.0,1.0,0.012,0.025,0.006,0.007,0.006,0.007,1.0,1.0,0.0,
156,0.0,0.4,0.0,1.0,0.012,0.012,0.006,0.006,0.006,0.008,1.0,1.0,0.0,
157,0.0,0.4,0.0,1.0,0.012,0.015,0.006,0.006,0.008,0.006,1.0,1.0,0.0,
158,1.0,0.4,0.6,0.0,0.109,0.053,0.006,0.008,0.008,0.007,0.006,0.006,0.0,
159,1.0,0.4,1.0,0.0,0.129,0.123,0.007,0.007,0.009,0.007,0.006,0.008,0.0,
160,1.0,0.4,1.0,0.0,0.106,0.107,0.007,0.009,0.007,0.007,0.007,0.008,0.0,
161,1.0,0.4,1.0,0.0,0.104,0.13,0.007,0.007,0.009,0.007,0.006,0.006,0.0,
162,1.0,0.4,1.0,0.0,0.101,0.107,0.007,0.007,0.009,0.009,0.007,0.007,0.0,
163,1.0,0.4,1.0,1.0,0.099,0.127,0.007,0.007,0.007,0.007,1.0,1.0,0.0,
164,1.0,0.4,1.0,0.0,0.147,0.138,0.007,0.009,0.007,0.007,0.006,0.008,0.0,
165,1.0,0.4,1.0,0.0,0.145,0.161,0.008,0.01,0.008,0.01,0.006,0.006,0.0,
166,0.0,0.4,0.0,0.0,0.026,0.012,0.006,0.008,0.006,0.008,0.007,0.007,0.0,
167,0.0,0.4,0.0,0.0,0.012,0.012,0.006,0.008,0.006,0.006,0.006,0.006,0.0,
168,0.0,0.4,0.0,0.0,0.012,0.012,0.008,0.006,0.006,0.006,0.006,0.008,0.0,
169,1.0,0.4,0.7,1.0,0.13,0.066,0.008,0.006,0.006,0.006,1.0,1.0,0.0,
170,1.0,0.4,1.0,1.0,0.18,0.146,0.008,0.007,0.009,0.008,1.0,1.0,0.0,
171,1.0,0.4,1.0,1.0,0.176,0.17,0.008,0.01,0.008,0.008,1.0,1.0,0.0,
172,1.0,0.4,1.0,0.0,0.169,0.141,0.01,0.01,0.01,0.008,0.008,0.007,0.0,
173,1.0,0.4,1.0,0.0,0.134,0.164,0.008,0.009,0.009,0.008,0.008,0.007,0.0,
174,1.0,0.4,1.0,0.0,0.161,0.131,0.008,0.009,0.008,0.01,0.007,0.007,0.0,
175,1.0,0.4,1.0,0.0,0.129,0.153,0.008,0.008,0.01,0.008,0.007,0.007,0.0,
176,1.0,0.4,1.0,1.0,0.125,0.153,0.007,0.008,0.007,0.01,1.0,1.0,0.0,
177,0.0,0.4,0.0,0.0,0.027,0.013,0.007,0.01,0.006,0.008,0.006,0.006,0.0,
178,0.0,0.4,0.0,0.0,0.012,0.013,0.008,0.006,0.006,0.006,0.008,0.006,0.0,
179,0.0,0.4,0.0,0.0,0.012,0.016,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
180,0.7,0.4,0.5,0.0,0.078,0.05,0.007,0.006,0.006,0.008,0.006,0.006,0.0,
181,1.0,0.4,1.0,0.0,0.159,0.194,0.008,0.01,0.008,0.008,0.006,0.008,0.0,
182,1.0,0.4,1.0,0.0,0.159,0.205,0.008,0.008,0.01,0.01,0.008,0.007,0.0,
183,1.0,0.4,1.0,1.0,0.159,0.205,0.008,0.009,0.008,0.009,1.0,1.0,0.0,
184,1.0,0.4,1.0,1.0,0.214,0.283,0.01,0.009,0.01,0.011,1.0,1.0,0.0,
185,1.0,0.4,1.0,0.0,0.214,0.271,0.009,0.012,0.009,0.01,0.007,0.007,0.0,
186,1.0,0.4,1.0,0.0,0.243,0.21,0.009,0.01,0.009,0.009,0.007,0.007,0.0,
187,1.0,0.4,1.0,0.0,0.229,0.252,0.009,0.009,0.009,0.009,0.007,0.007,0.0,
188,1.0,0.4,1.0,0.0,0.179,0.237,0.009,0.009,0.008,0.009,0.007,0.007,0.0,
189,0.0,0.4,0.0,0.0,0.012,0.013,0.006,0.011,0.006,0.008,0.006,0.006,0.0,
190,0.0,0.4,0.0,1.0,0.012,0.013,0.008,0.006,0.006,0.006,1.0,1.0,0.0,
191,0.0,0.4,0.0,0.0,0.012,0.013,0.006,0.006,0.006,0.006,0.008,0.006,0.0,
192,1.0,0.4,1.0,0.0,0.173,0.187,0.008,0.006,0.006,0.006,0.008,0.006,0.0,
193,1.0,0.4,1.0,0.0,0.208,0.179,0.008,0.008,0.01,0.008,0.007,0.007,0.0,
194,1.0,0.4,1.0,0.0,0.198,0.206,0.009,0.008,0.009,0.009,0.008,0.007,0.0,
195,1.0,0.4,1.0,0.0,0.197,0.205,0.011,0.009,0.009,0.009,0.007,0.007,0.0,
196,1.0,0.4,1.0,1.0,0.156,0.162,0.008,0.008,0.008,0.008,1.0,1.0,0.0,
197,1.0,0.4,1.0,1.0,0.246,0.255,0.01,0.01,0.008,0.01,1.0,1.0,0.0,
198,1.0,0.4,1.0,1.0,0.251,0.26,0.011,0.01,0.011,0.012,1.0,1.0,0.0,
199,0.0,0.4,0.0,0.0,0.013,0.013,0.006,0.01,0.012,0.006,0.007,0.008,0.0,
200,0.0,0.4,0.0,0.0,0.016,0.013,0.006,0.006,0.006,0.008,0.006,0.007,0.0,
201,0.0,0.4,0.0,0.0,0.015,0.013,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
202,0.3,0.4,0.2,0.0,0.031,0.024,0.006,0.006,0.008,0.008,0.006,0.006,0.0,
203,1.0,0.4,1.0,1.0,0.235,0.227,0.009,0.011,0.009,0.006,1.0,1.0,0.0,
204,1.0,0.4,1.0,0.0,0.351,0.29,0.009,0.01,0.014,0.011,0.008,0.007,0.0,
205,1.0,0.4,1.0,0.0,0.33,0.269,0.011,0.01,0.011,0.01,0.007,0.007,0.0,
206,1.0,0.4,1.0,0.0,0.303,0.3,0.013,0.011,0.011,0.01,0.008,0.007,0.0,
207,1.0,0.4,1.0,0.0,0.253,0.299,0.011,0.011,0.012,0.013,0.007,0.008,0.0,
208,1.0,0.4,1.0,0.0,0.302,0.279,0.01,0.01,0.012,0.01,0.007,0.008,0.0,
209,1.0,0.4,1.0,1.0,0.234,0.216,0.011,0.009,0.011,0.009,1.0,1.0,0.0,
210,0.0,0.4,0.0,1.0,0.013,0.014,0.009,0.009,0.006,0.011,1.0,1.0,0.0,
211,0.0,0.4,0.0,1.0,0.013,0.014,0.006,0.006,0.008,0.006,1.0,1.0,0.0,
212,0.0,0.4,0.0,0.0,0.013,0.014,0.006,0.006,0.008,0.006,0.008,0.008,0.0,
213,0.0,0.4,0.1,0.0,0.016,0.019,0.006,0.006,0.008,0.008,0.006,0.006,0.0,
