ts,A,CTX,x,US,S"1,S"2,H1,H2,M"1,M"2,D,R*,CR
89,0.0,0.4,0.0,0.0,0.009,0.011,0.006,0.006,0.006,0.006,0.008,0.006,0.0,
90,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.007,0.006,0.006,0.008,0.0,
91,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.006,0.008,0.006,0.0,
92,0.0,0.4,0.0,0.0,0.011,0.009,0.007,0.007,0.006,0.006,0.006,0.006,0.0,
93,0.0,0.4,0.0,0.0,0.011,0.009,0.006,0.006,0.007,0.006,0.006,0.008,0.0,
94,0.0,0.4,0.0,0.0,0.011,0.009,0.007,0.007,0.006,0.006,0.006,0.006,0.0,
95,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.006,0.008,0.006,0.0,
96,0.0,0.4,0.0,0.0,0.011,0.009,0.007,0.006,0.006,0.006,0.006,0.006,0.0,
97,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.006,0.006,0.008,0.0,
98,0.0,0.4,0.0,0.0,0.009,0.009,0.007,0.007,0.007,0.006,0.006,0.006,0.0,
99,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
100,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.007,0.008,0.006,0.0,
101,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
102,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.007,0.006,0.006,0.0,
103,0.0,0.4,0.0,0.0,0.011,0.011,0.006,0.006,0.007,0.006,0.008,0.006,0.0,
104,0.0,0.4,0.0,0.0,0.009,0.009,0.007,0.006,0.007,0.006,0.006,0.006,0.0,
105,0.0,0.4,0.0,0.0,0.009,0.011,0.007,0.006,0.006,0.006,0.006,0.008,0.0,
106,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.006,0.006,0.008,0.0,
107,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.006,0.008,0.006,0.0,
108,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.007,0.006,0.008,0.0,
109,1.0,0.4,1.0,0.0,0.027,0.031,0.007,0.006,0.006,0.006,0.006,0.008,0.0,
110,1.0,0.4,1.0,0.0,0.027,0.027,0.008,0.006,0.006,0.008,0.006,0.006,0.0,
111,1.0,0.4,1.0,0.0,0.027,0.027,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
112,1.0,0.4,0.9,0.0,0.027,0.024,0.008,0.006,0.006,0.006,0.006,0.008,0.0,
113,1.0,0.4,0.9,0.0,0.027,0.024,0.006,0.006,0.006,0.008,0.008,0.006,0.0,
114,1.0,0.4,0.9,1.0,0.027,0.024,0.006,0.008,0.008,0.006,1.0,1.0,0.0,
115,0.0,0.4,0.0,0.0,0.009,0.013,0.006,0.006,0.007,0.008,0.006,0.006,0.0,
116,0.0,0.4,0.0,0.0,0.009,0.011,0.006,0.006,0.006,0.007,0.008,0.008,0.0,
117,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.007,0.007,0.006,0.008,0.006,0.0,
118,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.007,0.006,0.006,0.006,0.0,
119,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.007,0.006,0.006,0.0,
120,0.0,0.4,0.0,0.0,0.009,0.011,0.007,0.007,0.006,0.006,0.006,0.006,0.0,
121,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.006,0.006,0.008,0.0,
122,0.0,0.4,0.0,0.0,0.009,0.009,0.007,0.006,0.007,0.006,0.006,0.006,0.0,
123,0.0,0.4,0.0,0.0,0.011,0.011,0.006,0.006,0.007,0.006,0.006,0.006,0.0,
124,0.0,0.4,0.0,0.0,0.011,0.009,0.007,0.006,0.006,0.006,0.006,0.006,0.0,
125,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
126,0.0,0.4,0.0,0.0,0.009,0.009,0.007,0.006,0.007,0.006,0.006,0.006,0.0,
127,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.007,0.006,0.006,0.006,0.0,
128,0.0,0.4,0.0,0.0,0.011,0.009,0.006,0.007,0.006,0.006,0.006,0.006,0.0,
129,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.007,0.006,0.008,0.006,0.0,
130,0.0,0.4,0.0,0.0,0.011,0.011,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
131,0.0,0.4,0.0,0.0,0.009,0.011,0.006,0.006,0.006,0.006,0.008,0.006,0.0,
132,0.0,0.4,0.0,0.0,0.009,0.011,0.006,0.006,0.006,0.007,0.008,0.006,0.0,
133,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.007,0.006,0.007,0.006,0.008,0.0,
134,0.0,0.4,0.0,0.0,0.011,0.011,0.006,0.006,0.006,0.006,0.008,0.006,0.0,
135,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.007,0.006,0.006,0.0,
136,0.0,0.4,0.0,0.0,0.009,0.011,0.006,0.007,0.006,0.006,0.008,0.006,0.0,
137,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
138,0.0,0.4,0.0,0.0,0.009,0.009,0.007,0.007,0.007,0.007,0.006,0.008,0.0,
139,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
140,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.007,0.006,0.008,0.006,0.0,
